id,name,price,amount,category_id,producer_id,seller_id
68,"Product: Valerie Lowe",120074,26,8,8,68
69,"Product: Zachary Manning",250769,93,9,9,69
70,"Product: Johnny Olson",210277,65,10,10,70
71,"Product: William Davis",249178,49,11,11,71
72,"Product: Crystal Robinson",697125,96,12,12,72
73,"Product: Michael Medina",883272,25,13,13,73
74,"Product: Felicia Ramirez",611932,93,14,14,74
75,"Product: Kenneth Sanchez",814821,72,15,0,75
76,"Product: David Sanchez",669380,31,16,1,76
77,"Product: Shelby Burke",507031,16,17,2,77
78,"Product: Kent Rivas",755699,7,18,3,78
79,"Product: Michael Rogers",708069,63,19,4,79
80,"Product: Steven Sullivan",326180,98,20,5,80
81,"Product: Christopher Conner",382002,13,21,6,81
82,"Product: Lisa Erickson",986697,49,22,7,82
83,"Product: Susan Peterson",310250,93,23,8,83
84,"Product: Keith Fisher",322939,37,24,9,84
85,"Product: Edward Liu",675468,43,25,10,85
86,"Product: Darren White",316162,35,26,11,86
87,"Product: Craig Smith",678366,0,27,12,87
88,"Product: Andres Ford",573154,1,28,13,88
89,"Product: Henry Alvarez",477703,86,29,14,89
90,"Product: Darryl Thomas",902091,2,0,0,90
91,"Product: Sherry Duran",512608,52,1,1,91
92,"Product: Daniel Burns",705229,50,2,2,92
93,"Product: Laura Ellison",843009,71,3,3,93
94,"Product: Andrea Jones",273356,67,4,4,94
95,"Product: Patrick Turner",812250,48,5,5,95
96,"Product: Brianna Whitehead",424868,82,6,6,96
97,"Product: Angel Erickson",229945,100,7,7,97
98,"Product: Anthony Patrick",440783,51,8,8,98
99,"Product: Michael Thompson",245937,28,9,9,99
100,"Product: Kenneth Sullivan",565001,41,10,10,100
101,"Product: Ralph Ray",328740,97,11,11,101
102,"Product: Darren Robinson",525084,32,12,12,102
103,"Product: Ronald Bowen",372352,49,13,13,103
104,"Product: Alan Morgan",97190,4,14,14,104
105,"Product: Samantha Tyler",839507,34,15,0,105
106,"Product: Sheri Daugherty",566087,20,16,1,106
107,"Product: Jessica White",826983,68,17,2,107
108,"Product: Justin Morris",39553,93,18,3,108
109,"Product: Chelsea Daniels",228639,82,19,4,109
110,"Product: Mark Nichols",308480,83,20,5,110
111,"Product: Robert Gilmore",650371,32,21,6,111
112,"Product: Kristine Turner",339508,15,22,7,112
113,"Product: Nicholas Larson",544422,57,23,8,113
114,"Product: Andrea Jenkins",292469,17,24,9,114
115,"Product: Christopher Jefferson",344891,23,25,10,115
116,"Product: Brian Drake",983288,67,26,11,116
117,"Product: Amy Wright",848710,91,27,12,117
118,"Product: Alyssa Taylor",651677,70,28,13,118
119,"Product: Clayton Smith",798510,8,29,14,119
120,"Product: Miranda Ramirez",220616,40,0,0,120
121,"Product: Maria Duarte",239666,21,1,1,121
122,"Product: Taylor Ramos",856754,43,2,2,122
123,"Product: Jacqueline Torres",40617,37,3,3,123
124,"Product: Anthony Gibson",228271,37,4,4,124
125,"Product: Mark Hughes",348386,72,5,5,125
126,"Product: Kimberly Chavez",142251,29,6,6,126
127,"Product: Marie Sherman",759202,66,7,7,127
128,"Product: Clayton Snow DDS",287893,71,8,8,128
129,"Product: John Travis",958691,78,9,9,129
130,"Product: Courtney Baxter",802502,51,10,10,130
131,"Product: Cheryl Anderson",86107,66,11,11,131
132,"Product: Barbara Bryan",395343,25,12,12,132
133,"Product: Ellen Turner",890873,56,13,13,133
134,"Product: Juan Flores",544232,6,14,14,134
135,"Product: Ryan Morales",180078,74,15,0,135
136,"Product: Maria Parker MD",818290,50,16,1,136
137,"Product: Tiffany Mendez",973011,40,17,2,137
138,"Product: Miss Angela Nguyen",42281,14,18,3,138
139,"Product: Sarah Raymond",373446,75,19,4,139
140,"Product: Patricia Mclean",688658,53,20,5,140
141,"Product: Thomas Dunn",710417,53,21,6,141
142,"Product: Matthew Calderon",240610,47,22,7,142
143,"Product: Raymond Gardner",24144,33,23,8,143
144,"Product: Andrew Pierce",501783,86,24,9,144
145,"Product: Andrea Wilson",348822,78,25,10,145
146,"Product: Deborah Hudson",431323,78,26,11,146
147,"Product: Carlos Castillo",822723,29,27,12,147
148,"Product: Erica Marsh",930039,4,28,13,148
149,"Product: Stacey Butler",194787,46,29,14,149
150,"Product: Belinda Ryan",272982,94,0,0,150
151,"Product: Brenda Peterson",620847,9,1,1,151
152,"Product: Jennifer Day",422035,53,2,2,152
153,"Product: Mark Fernandez",672577,82,3,3,153
154,"Product: Thomas Price",188119,36,4,4,154
155,"Product: Monica Goodman",773638,17,5,5,155
156,"Product: Lisa Reed",344779,96,6,6,156
157,"Product: Michelle Santiago",413804,52,7,7,157
158,"Product: Traci Gordon",191697,9,8,8,158
159,"Product: Jeremy Harvey",593030,75,9,9,159
160,"Product: Tommy Kennedy",196617,41,10,10,160
161,"Product: Cheryl Grimes",931126,13,11,11,161
162,"Product: Kimberly Mendoza",545705,17,12,12,162
163,"Product: Diana Smith",324055,95,13,13,163
164,"Product: Nicholas Green",41204,11,14,14,164
165,"Product: Travis Christian MD",578102,15,15,0,165
166,"Product: Jerry Hoffman",606815,26,16,1,166
167,"Product: Kathleen Clark",843902,2,17,2,167
168,"Product: Adrian King",995946,77,18,3,168
169,"Product: Melissa Hunter",124414,61,19,4,169
170,"Product: Joseph Ewing PhD",592117,35,20,5,170
171,"Product: Mario Cummings",257932,95,21,6,171
172,"Product: Justin Stone",437746,51,22,7,172
173,"Product: Gabrielle Walters",258738,66,23,8,173
174,"Product: Lisa Yang",156510,85,24,9,174
175,"Product: Laura Schmidt",908465,38,25,10,175
176,"Product: Christina Morales",274312,20,26,11,176
177,"Product: Scott Mccarty MD",657021,3,27,12,177
178,"Product: James Brown",530546,81,28,13,178
179,"Product: Melissa Johnson",894410,48,29,14,179
180,"Product: Omar Lucero",392122,56,0,0,180
181,"Product: Samantha Meyer",305434,20,1,1,181
182,"Product: Seth Carr",884164,78,2,2,182
183,"Product: Dale Rhodes",563910,3,3,3,183
184,"Product: Kimberly Rasmussen",934923,73,4,4,184
185,"Product: Nicholas Hood",856373,51,5,5,185
186,"Product: Joan Davis",543213,42,6,6,186
187,"Product: Steven Lee",286070,97,7,7,187
188,"Product: Kimberly Martinez",791935,58,8,8,188
189,"Product: Robert Harris",254552,71,9,9,189
190,"Product: Brittany Wood",937114,77,10,10,190
191,"Product: Angela Sanders",141745,25,11,11,191
192,"Product: Madison Davis",656630,31,12,12,192
193,"Product: Julie Cole",616831,47,13,13,193
194,"Product: Cathy Green",967278,29,14,14,194
195,"Product: Thomas Brown",364060,86,15,0,195
196,"Product: Sara Vasquez",368513,6,16,1,196
197,"Product: Steven Lopez",10441,52,17,2,197
198,"Product: Jonathan Clarke",634998,36,18,3,198
199,"Product: Tricia Cooper",785963,86,19,4,199
200,"Product: Terrence Nelson",162217,79,20,5,200
201,"Product: John Beck",320824,46,21,6,201
202,"Product: Jessica Banks",352171,74,22,7,202
203,"Product: Samantha Harris",695290,75,23,8,203
204,"Product: Alicia Mcgee",520791,47,24,9,204
205,"Product: Angela Duncan",40293,28,25,10,205
206,"Product: Christopher Craig",840688,74,26,11,206
207,"Product: Katie Bruce",458190,22,27,12,207
208,"Product: Melissa Dorsey MD",704208,20,28,13,208
209,"Product: Joseph Thompson",170982,75,29,14,209
210,"Product: Kevin Blair",627411,75,0,0,210
211,"Product: Katrina Edwards",111283,95,1,1,211
212,"Product: Manuel Reyes",32375,81,2,2,212
213,"Product: Kyle Hayes",448077,72,3,3,213
214,"Product: Tiffany Lee",720929,97,4,4,214
215,"Product: William Hodge",957673,64,5,5,215
216,"Product: Christopher Wallace",540002,7,6,6,216
217,"Product: William Davis",238718,20,7,7,217
218,"Product: Jody Thomas",84232,92,8,8,218
219,"Product: Tina Brown",508931,45,9,9,219
220,"Product: Michael Weber",324014,62,10,10,220
221,"Product: Melvin Davis",974610,35,11,11,221
222,"Product: Mr. Jesse Smith DDS",356957,85,12,12,222
223,"Product: Patricia Schneider",953491,76,13,13,223
224,"Product: Brenda Hudson",248937,91,14,14,224
225,"Product: Amy Davis",306843,15,15,0,225
226,"Product: Spencer Carter",129959,70,16,1,226
227,"Product: Christopher Horton",12461,73,17,2,227
228,"Product: Ricardo Frazier DDS",822177,56,18,3,228
229,"Product: Oscar Smith",594626,23,19,4,229
230,"Product: Mitchell Martin",831233,0,20,5,230
231,"Product: Jason Fuller",897511,51,21,6,231
232,"Product: Brittany Thomas",43375,85,22,7,232
233,"Product: Ashley Jones",832179,43,23,8,233
234,"Product: Stephanie Luna",797744,52,24,9,234
235,"Product: Sharon Thomas DVM",427694,82,25,10,235
236,"Product: Jeremy Stafford",582667,31,26,11,236
237,"Product: Krista Craig",617279,46,27,12,237
238,"Product: Sabrina Stevens",69823,73,28,13,238
239,"Product: Kurt Marquez",300029,81,29,14,239
240,"Product: Michael Raymond",265658,11,0,0,240
241,"Product: Jared James",825367,93,1,1,241
242,"Product: Brandon Mitchell",566030,64,2,2,242
243,"Product: Shari Rodriguez",227378,32,3,3,243
244,"Product: Chad Monroe",324600,19,4,4,244
245,"Product: Joe Rhodes",514004,93,5,5,245
246,"Product: Scott Potter",199268,81,6,6,246
247,"Product: Anna Morales",64929,21,7,7,247
248,"Product: Luke Strickland",47458,8,8,8,248
249,"Product: William Young",611368,35,9,9,249
250,"Product: Crystal Brown",29719,87,10,10,250
251,"Product: Kyle Chapman",51290,68,11,11,251
252,"Product: Gary Peters",473260,71,12,12,252
253,"Product: Barbara Howard",256076,38,13,13,253
254,"Product: William Little",593983,22,14,14,254
255,"Product: Courtney Smith",167935,30,15,0,255
256,"Product: Erica Smith",374202,72,16,1,256
257,"Product: Rose Sullivan",965474,76,17,2,257
258,"Product: Alicia Yoder",973490,90,18,3,258
259,"Product: Todd Campbell",179004,15,19,4,259
260,"Product: Jon Atkins",810361,53,20,5,260
261,"Product: Scott Hunter",423867,94,21,6,261
262,"Product: Louis Wilson",294709,59,22,7,262
263,"Product: Anthony Lewis",585353,60,23,8,263
264,"Product: Tracy Lawson MD",238445,36,24,9,264
265,"Product: Kirk Taylor",895387,31,25,10,265
266,"Product: Natalie Smith",980546,9,26,11,266
267,"Product: Scott Harper",653519,95,27,12,267
268,"Product: Matthew Ellis",904471,85,28,13,268
269,"Product: Stephanie Zamora",223476,5,29,14,269
270,"Product: William Hughes",303203,57,0,0,270
271,"Product: Victoria Crosby",104103,94,1,1,271
272,"Product: John Thomas",271002,65,2,2,272
273,"Product: Eric Rivera",661720,25,3,3,273
274,"Product: Megan Gutierrez",64465,62,4,4,274
275,"Product: Shannon Blair",990174,25,5,5,275
276,"Product: Matthew Hartman",161237,15,6,6,276
277,"Product: Christine Ochoa",19526,49,7,7,277
278,"Product: Jamie Ramos",562869,33,8,8,278
279,"Product: William Whitney",833566,22,9,9,279
280,"Product: Adrian Griffin",256374,3,10,10,280
281,"Product: Roger Hammond",101272,83,11,11,281
282,"Product: Janice Mitchell",631568,60,12,12,282
283,"Product: Kevin Shaw",464698,4,13,13,283
284,"Product: Christopher Long",569447,36,14,14,284
285,"Product: Cory Jackson",802594,59,15,0,285
286,"Product: Sean Jones",115858,52,16,1,286
287,"Product: Eddie Chen",545571,40,17,2,287
288,"Product: Clifford Parker",437392,65,18,3,288
289,"Product: Elizabeth Rose",510071,76,19,4,289
290,"Product: Monica Harrison",867745,73,20,5,290
291,"Product: Adam Vargas",608908,31,21,6,291
292,"Product: Matthew Rivera",835156,87,22,7,292
293,"Product: John Gibson",547132,0,23,8,293
294,"Product: Stephanie Bradley",169429,80,24,9,294
295,"Product: James Donovan",865024,43,25,10,295
296,"Product: Sean Chavez",103178,95,26,11,296
297,"Product: Scott Walker",946485,15,27,12,297
298,"Product: Corey Johnson",659328,45,28,13,298
299,"Product: Caleb Adams",177223,2,29,14,299
300,"Product: Mark Fischer",47794,16,0,0,300
301,"Product: Erica Johnson",507540,91,1,1,301
302,"Product: Peter Duran",832640,59,2,2,302
303,"Product: Larry Bass",13181,13,3,3,303
304,"Product: Thomas Morales",431245,24,4,4,304
305,"Product: Charles Hughes",681918,51,5,5,305
306,"Product: Sheena Malone",639197,31,6,6,306
307,"Product: Jennifer Hall",310870,17,7,7,307
308,"Product: John Strickland DVM",178614,7,8,8,308
309,"Product: Jeffrey Kelley",850804,31,9,9,309
310,"Product: Holly Myers",573906,7,10,10,310
311,"Product: Matthew Robinson",140483,40,11,11,311
312,"Product: Sabrina Bell",593293,89,12,12,312
313,"Product: Jason Parker",80779,33,13,13,313
314,"Product: Brian Yates",260565,28,14,14,314
315,"Product: Stacy Page MD",775502,12,15,0,315
316,"Product: Frederick Turner",28116,60,16,1,316
317,"Product: Jamie Vaughan",570360,28,17,2,317
318,"Product: Tracy Powell",371564,69,18,3,318
319,"Product: Kathleen Wilson",534756,65,19,4,319
320,"Product: Thomas Stephens",773685,47,20,5,320
321,"Product: Michael Holt",894635,52,21,6,321
322,"Product: Brian Robertson",783667,51,22,7,322
323,"Product: Emily Cervantes",672172,36,23,8,323
324,"Product: Derek Bright",235126,58,24,9,324
325,"Product: Patricia Johnson",494757,99,25,10,325
326,"Product: Amy Turner",490619,31,26,11,326
327,"Product: Ernest Miller",499857,94,27,12,327
328,"Product: Tony Ball",782909,73,28,13,328
329,"Product: Wendy Pugh",422037,41,29,14,329
330,"Product: Eric Carter",106658,55,0,0,330
331,"Product: Tina Pierce",694476,7,1,1,331
332,"Product: Barbara Wells",14817,28,2,2,332
333,"Product: Ashley Massey",416558,15,3,3,333
334,"Product: Ricardo Briggs",609356,67,4,4,334
335,"Product: Debra Jones",598713,10,5,5,335
336,"Product: Angie Houston",542461,47,6,6,336
337,"Product: Roger Gill",533821,98,7,7,337
338,"Product: Carl Small",991658,21,8,8,338
339,"Product: Brianna Williams",344282,72,9,9,339
340,"Product: Eric Henry",25756,34,10,10,340
341,"Product: Stacey Davis",765789,31,11,11,341
342,"Product: Mr. Brent Moore",858057,66,12,12,342
343,"Product: Michelle Duke",505712,22,13,13,343
344,"Product: Brooke Hartman",877669,40,14,14,344
345,"Product: Jill French",576400,28,15,0,345
346,"Product: Lisa Herring",546693,42,16,1,346
347,"Product: David James",388776,59,17,2,347
348,"Product: Jesse Francis",566850,55,18,3,348
349,"Product: James Terry",48848,99,19,4,349
350,"Product: Justin Cortez",758709,21,20,5,350
351,"Product: Joanne Brown",543413,1,21,6,351
352,"Product: Devin Keller",820621,33,22,7,352
353,"Product: Dr. John Le",873329,40,23,8,353
354,"Product: Courtney Carroll",677070,23,24,9,354
355,"Product: Kevin Kelley",821064,5,25,10,355
356,"Product: Terry Mullins",299377,54,26,11,356
357,"Product: James Lane",934521,70,27,12,357
358,"Product: Sharon Gross",753860,96,28,13,358
359,"Product: Mark Chavez",829362,18,29,14,359
360,"Product: Paula Valdez",40962,94,0,0,360
361,"Product: Martin Chaney",646033,31,1,1,361
362,"Product: Erin Lewis",237132,76,2,2,362
363,"Product: Rachel Mathis",82941,91,3,3,363
364,"Product: Jason Rowe",32471,82,4,4,364
365,"Product: Kathryn Nicholson",989666,97,5,5,365
366,"Product: Amy Johnson",235855,16,6,6,366
367,"Product: Kristen Sanchez",851580,45,7,7,367
368,"Product: Lucas Kramer",879669,70,8,8,368
369,"Product: Chloe Simon",336916,74,9,9,369
370,"Product: Sandra Bush",906261,58,10,10,370
371,"Product: Kelly Myers",556135,20,11,11,371
372,"Product: Angela Romero",506267,49,12,12,372
373,"Product: Mariah Hansen",520978,15,13,13,373
374,"Product: Lindsay Brown",706650,66,14,14,374
375,"Product: Melissa Schmidt",390942,25,15,0,375
376,"Product: Sarah Sullivan",110822,22,16,1,376
377,"Product: Robert Smith",452799,18,17,2,377
378,"Product: Carly Harding",368729,70,18,3,378
379,"Product: Erin Garcia",444781,59,19,4,379
380,"Product: Sarah Nielsen",220470,6,20,5,380
381,"Product: Dale Pena",271768,54,21,6,381
382,"Product: Courtney Taylor",582359,34,22,7,382
383,"Product: Alicia Blevins",713864,5,23,8,383
384,"Product: Suzanne Chen",846205,92,24,9,384
385,"Product: Bruce Scott",855108,84,25,10,385
386,"Product: Chloe Lambert",792523,75,26,11,386
387,"Product: Karen Hill",296263,46,27,12,387
388,"Product: Gregory Guzman",228043,53,28,13,388
389,"Product: Victoria Sexton",53280,41,29,14,389
390,"Product: Jason Gonzales",686037,47,0,0,390
391,"Product: Ernest Lloyd",140846,57,1,1,391
392,"Product: Vanessa Strickland",500153,92,2,2,392
393,"Product: Thomas Grimes",797097,0,3,3,393
394,"Product: Donna Patrick",999291,3,4,4,394
395,"Product: Adam Riddle",815716,24,5,5,395
396,"Product: Tim Palmer",923428,88,6,6,396
397,"Product: Felicia Williams",853156,70,7,7,397
398,"Product: Alexa Smith",301978,78,8,8,398
399,"Product: Rachel Carter",37465,89,9,9,399
400,"Product: Stanley Levy",85092,89,10,10,400
401,"Product: Steven Schwartz",289631,7,11,11,401
402,"Product: Rebecca Barton",693558,59,12,12,402
403,"Product: Logan Young",318182,20,13,13,403
404,"Product: Sara Bates",855586,76,14,14,404
405,"Product: Daniel Spencer",833569,82,15,0,405
406,"Product: Tiffany Sullivan",827476,13,16,1,406
407,"Product: Nathan Mills",449964,47,17,2,407
408,"Product: Lori Matthews",116631,98,18,3,408
409,"Product: Julie Moore",443933,59,19,4,409
410,"Product: Donna Winters",349057,89,20,5,410
411,"Product: Haley Watson",123621,61,21,6,411
412,"Product: Lori Watson",615160,65,22,7,412
413,"Product: Timothy Alvarez",115942,45,23,8,413
414,"Product: Russell Garcia",871797,13,24,9,414
415,"Product: Shelley Carroll",604212,59,25,10,415
416,"Product: James Krueger",714770,62,26,11,416
417,"Product: Michael Lin",228083,34,27,12,417
418,"Product: April Smith",87174,91,28,13,418
419,"Product: Misty Lawrence",222542,85,29,14,419
420,"Product: Paul Rodriguez",561777,86,0,0,420
421,"Product: Stephanie Lopez",658551,60,1,1,421
422,"Product: Mary Butler",784182,78,2,2,422
423,"Product: Timothy Davis",337789,45,3,3,423
424,"Product: Randy Ferguson",307493,81,4,4,424
425,"Product: Cindy Cook",26972,51,5,5,425
426,"Product: Christopher Johnson",596099,10,6,6,426
427,"Product: Adam Shelton",969685,46,7,7,427
428,"Product: Peter Alvarado",89901,11,8,8,428
429,"Product: Gary Curry",493348,100,9,9,429
430,"Product: Timothy Davies",523128,65,10,10,430
431,"Product: Katelyn Patel",954178,45,11,11,431
432,"Product: Mike Romero",924141,6,12,12,432
433,"Product: Jason Hernandez",299572,78,13,13,433
434,"Product: Barbara Ray",659943,57,14,14,434
435,"Product: Richard Matthews",990434,56,15,0,435
436,"Product: Jeremy Floyd MD",35358,11,16,1,436
437,"Product: Michelle Martin",381450,39,17,2,437
438,"Product: Shelby Thomas",813045,19,18,3,438
439,"Product: Destiny Robinson",998397,50,19,4,439
440,"Product: Sarah Quinn",824617,90,20,5,440
441,"Product: Tracy Hines",450384,83,21,6,441
442,"Product: Trevor Stevens",279249,20,22,7,442
443,"Product: Lisa Roberts",435438,24,23,8,443
444,"Product: Danielle Jordan",807633,92,24,9,444
445,"Product: Erica Chavez",992930,57,25,10,445
446,"Product: Margaret Turner",764691,19,26,11,446
447,"Product: Lauren Vega",455878,37,27,12,447
448,"Product: Julie Green",679535,5,28,13,448
449,"Product: Raymond Mcpherson",872711,96,29,14,449
450,"Product: Caitlyn Hart",173863,84,0,0,450
451,"Product: Laura Hart",974728,2,1,1,451
452,"Product: Scott Fisher",328432,69,2,2,452
453,"Product: Katelyn Moore",689345,46,3,3,453
454,"Product: Deborah Chan",817793,55,4,4,454
455,"Product: Julie Crane",65231,85,5,5,455
456,"Product: Corey Burgess",716612,21,6,6,456
457,"Product: Kimberly James",876345,18,7,7,457
458,"Product: Connie Murray",840379,59,8,8,458
459,"Product: Steven Green",572329,1,9,9,459
460,"Product: Tina Munoz",593540,91,10,10,460
461,"Product: Roberta Munoz",505610,74,11,11,461
462,"Product: Brandon Taylor",192034,10,12,12,462
463,"Product: Sabrina Jones",761905,41,13,13,463
464,"Product: Crystal Rodriguez",760366,77,14,14,464
465,"Product: Laura Gonzales",520516,33,15,0,465
466,"Product: Katherine Carson",330881,66,16,1,466
467,"Product: Sean Maldonado",976233,34,17,2,467
468,"Product: Sophia Osborne",816380,13,18,3,468
469,"Product: Anthony Carroll",756446,4,19,4,469
470,"Product: Gordon Bailey",925051,77,20,5,470
471,"Product: Robert Jones",622062,38,21,6,471
472,"Product: Calvin Ellis",566402,73,22,7,472
473,"Product: David Osborne",114900,77,23,8,473
474,"Product: Abigail Cooper PhD",571533,73,24,9,474
475,"Product: Elizabeth Murphy",761327,59,25,10,475
476,"Product: Christopher Kline",178890,63,26,11,476
477,"Product: Kevin Wilson",477295,82,27,12,477
478,"Product: Curtis Hughes",328413,37,28,13,478
479,"Product: Mary Steele",795387,81,29,14,479
480,"Product: Bruce Daniel",20358,65,0,0,480
481,"Product: Michael Williams",717838,41,1,1,481
482,"Product: Michael Dean",151096,20,2,2,482
483,"Product: Christian Robinson",292093,47,3,3,483
484,"Product: Beth Cooper",981010,18,4,4,484
485,"Product: Annette Long",442157,38,5,5,485
486,"Product: Joel Perry",531530,66,6,6,486
487,"Product: Pamela Heath",232722,40,7,7,487
488,"Product: Lori Carrillo",577554,86,8,8,488
489,"Product: Shane Phillips",295878,71,9,9,489
490,"Product: Robert Pacheco",315501,58,10,10,490
491,"Product: Alyssa Porter",495072,77,11,11,491
492,"Product: Cynthia Mitchell",564102,91,12,12,492
493,"Product: Vanessa Morales",658316,33,13,13,493
494,"Product: Gerald Andersen",641372,58,14,14,494
495,"Product: Adrienne Thomas",235676,10,15,0,495
496,"Product: David Brooks",466074,97,16,1,496
497,"Product: Monique Lucas MD",420743,54,17,2,497
498,"Product: Robert Rodriguez",452521,46,18,3,498
499,"Product: Kayla Harris",559694,21,19,4,499
500,"Product: Gregory Shaw",927252,5,20,5,500
501,"Product: Jill Wood",322778,5,21,6,501
502,"Product: Craig Evans",336815,27,22,7,502
503,"Product: Emily Rogers",461386,95,23,8,503
504,"Product: Stephanie Andrews",27213,63,24,9,504
505,"Product: Tiffany White",171250,4,25,10,505
506,"Product: Diana Miller",402087,15,26,11,506
507,"Product: Elizabeth Henderson",532684,38,27,12,507
508,"Product: Bryan Johnson",478756,46,28,13,508
509,"Product: Lori Patterson",523218,77,29,14,509
510,"Product: Paula Hendrix",285954,68,0,0,510
511,"Product: Henry Graham",248322,35,1,1,511
512,"Product: Melissa Carroll",529317,43,2,2,512
513,"Product: Kimberly White",963741,93,3,3,513
514,"Product: Jo Potter",539147,46,4,4,514
515,"Product: Shannon Davis",822157,46,5,5,515
516,"Product: Ana Oneal",871306,99,6,6,516
517,"Product: Diane Newman",21158,74,7,7,517
518,"Product: Michelle Ryan",988362,59,8,8,518
519,"Product: Andrea Collins",598585,58,9,9,519
520,"Product: Mark Jones",574076,80,10,10,520
521,"Product: Richard Smith",880005,92,11,11,521
522,"Product: Lisa Garcia",380888,15,12,12,522
523,"Product: Kari Gonzalez",510443,95,13,13,523
524,"Product: Keith Spencer",129072,6,14,14,524
525,"Product: Isaac Manning",757010,16,15,0,525
526,"Product: Tiffany Scott",710730,71,16,1,526
527,"Product: Alex Owens",98616,17,17,2,527
528,"Product: Christopher Mccarthy",942594,19,18,3,528
529,"Product: Taylor King",617672,20,19,4,529
530,"Product: Jeremiah Gamble",618138,54,20,5,530
531,"Product: Rachel Cameron",989665,90,21,6,531
532,"Product: Tammy Davis",31662,89,22,7,532
533,"Product: Jeremiah Osborne",345086,75,23,8,533
534,"Product: Joseph Thomas",795183,98,24,9,534
535,"Product: Tyler Wolf",264647,94,25,10,535
536,"Product: Michelle Anderson",775554,99,26,11,536
537,"Product: Christine Freeman",142076,4,27,12,537
538,"Product: Stephanie Nelson",926782,98,28,13,538
539,"Product: Daniel Ramos",395496,92,29,14,539
540,"Product: Ryan Fox",799096,49,0,0,540
541,"Product: Sarah Hoffman",882595,19,1,1,541
542,"Product: Dean Richards",977748,45,2,2,542
543,"Product: Mary Moreno",877213,74,3,3,543
544,"Product: James Torres",408961,86,4,4,544
545,"Product: Jeffrey Morris",274282,73,5,5,545
546,"Product: Ellen Long",839858,26,6,6,546
547,"Product: Samuel Odonnell",753771,64,7,7,547
548,"Product: Derrick Delgado",373159,68,8,8,548
549,"Product: Donna Torres",505598,10,9,9,549
550,"Product: Benjamin Stevens",392634,76,10,10,550
